cache_size_kb,block_size_b,associativity,overhead_size_b,total_cost,hit_rate,miss_rate,cpi,unused_space,waste_cost
1,4,1,736,0.15,60.6626,39.3374,7.35,0.00,0.00
1,4,2,768,0.16,61.3262,38.6738,7.32,0.00,0.00
1,4,4,800,0.16,61.3297,38.6703,7.32,0.00,0.00
1,4,8,832,0.16,61.3514,38.6486,7.32,0.00,0.00
1,4,16,864,0.17,61.1450,38.8550,7.33,0.00,0.00
1,8,1,368,0.12,71.3153,28.6847,7.70,0.00,0.00
1,8,2,384,0.12,72.2377,27.7623,7.60,0.00,0.00
1,8,4,400,0.13,72.6265,27.3735,7.56,0.00,0.00
1,8,8,416,0.13,72.5169,27.4831,7.57,0.00,0.00
1,8,16,432,0.13,72.4018,27.5982,7.58,0.00,0.00
1,16,1,184,0.11,78.3640,21.6360,8.93,0.00,0.00
1,16,2,192,0.11,79.7021,20.2979,8.63,0.00,0.00
1,16,4,200,0.11,80.2900,19.7100,8.50,0.00,0.00
1,16,8,208,0.11,80.2085,19.7915,8.51,0.00,0.00
1,16,16,216,0.11,80.1169,19.8831,8.54,0.00,0.00
1,32,1,92,0.10,82.3121,17.6879,11.78,0.00,0.00
1,32,2,96,0.10,84.2988,15.7012,10.90,0.00,0.00
1,32,4,100,0.10,84.8733,15.1267,10.65,0.00,0.00
1,32,8,104,0.10,85.1221,14.8779,10.54,0.00,0.00
1,32,16,108,0.10,85.2116,14.7884,10.50,0.00,0.00
1,64,1,46,0.09,83.1073,16.8927,18.79,0.00,0.00
1,64,2,48,0.09,86.1616,13.8384,16.09,0.00,0.00
1,64,4,50,0.09,86.9354,13.0646,15.41,0.00,0.00
1,64,8,52,0.09,87.1844,12.8156,15.19,0.00,0.00
1,64,16,54,0.09,87.9684,12.0316,14.49,0.00,0.00
2,4,1,1408,0.30,66.9056,33.0944,7.01,0.00,0.00
2,4,2,1472,0.31,68.7465,31.2535,6.91,0.00,0.00
2,4,4,1536,0.32,69.6499,30.3501,6.86,0.00,0.00
2,4,8,1600,0.32,69.4776,30.5224,6.87,0.00,0.00
2,4,16,1664,0.33,69.2664,30.7336,6.88,0.00,0.00
2,8,1,704,0.24,75.8943,24.1057,7.19,0.00,0.00
2,8,2,736,0.24,77.4796,22.5204,7.01,0.00,0.00
2,8,4,768,0.25,77.7519,22.2481,6.98,0.00,0.00
2,8,8,800,0.25,77.4448,22.5552,7.01,0.00,0.00
2,8,16,832,0.25,76.8771,23.1229,7.08,0.00,0.00
2,16,1,352,0.21,81.9399,18.0601,8.13,0.00,0.00
2,16,2,368,0.21,83.4291,16.5709,7.80,0.00,0.00
2,16,4,384,0.21,83.5447,16.4553,7.77,0.00,0.00
2,16,8,400,0.22,83.3623,16.6377,7.81,0.00,0.00
2,16,16,416,0.22,83.2190,16.7810,7.84,0.00,0.00
2,32,1,176,0.20,85.5865,14.4135,10.33,0.00,0.00
2,32,2,184,0.20,87.3633,12.6367,9.54,0.00,0.00
2,32,4,192,0.20,87.6508,12.3492,9.42,0.00,0.00
2,32,8,200,0.20,87.6436,12.3564,9.42,0.00,0.00
2,32,16,208,0.20,87.6355,12.3645,9.42,0.00,0.00
2,64,1,88,0.19,86.6275,13.3725,15.68,0.00,0.00
2,64,2,92,0.19,89.3435,10.6565,13.28,0.00,0.00
2,64,4,96,0.19,89.7637,10.2363,12.91,0.00,0.00
2,64,8,100,0.19,89.9875,10.0125,12.71,0.00,0.00
2,64,16,104,0.19,89.9234,10.0766,12.77,0.00,0.00
4,4,1,2688,0.60,72.6247,27.3753,6.69,0.00,0.00
4,4,2,2816,0.61,76.6290,23.3710,6.47,0.00,0.00
4,4,4,2944,0.62,78.6667,21.3333,6.36,0.00,0.00
4,4,8,3072,0.63,79.5065,20.4935,6.31,0.00,0.00
4,4,16,3200,0.64,79.6780,20.3220,6.30,0.00,0.00
4,8,1,1344,0.48,80.1882,19.8118,6.70,0.00,0.00
4,8,2,1408,0.48,83.1601,16.8399,6.37,0.00,0.00
4,8,4,1472,0.49,84.5732,15.4268,6.21,0.00,0.00
4,8,8,1536,0.49,85.2487,14.7513,6.13,0.00,0.00
4,8,16,1600,0.50,85.4261,14.5739,6.11,0.00,0.00
4,16,1,672,0.42,85.4024,14.5976,7.36,0.00,0.00
4,16,2,704,0.42,87.5980,12.4020,6.87,0.00,0.00
4,16,4,736,0.42,88.4020,11.5980,6.69,0.00,0.00
4,16,8,768,0.43,88.7285,11.2715,6.62,0.00,0.00
4,16,16,800,0.43,88.9379,11.0621,6.57,0.00,0.00
4,32,1,336,0.39,88.4747,11.5253,9.05,0.00,0.00
4,32,2,352,0.39,90.4971,9.5029,8.16,0.00,0.00
4,32,4,368,0.39,90.9077,9.0923,7.97,0.00,0.00
4,32,8,384,0.39,90.8699,9.1301,7.99,0.00,0.00
4,32,16,400,0.40,90.7497,9.2503,8.04,0.00,0.00
4,64,1,168,0.37,89.4783,10.5217,13.16,0.00,0.00
4,64,2,176,0.38,91.7401,8.2599,11.16,0.00,0.00
4,64,4,184,0.38,92.1690,7.8310,10.78,0.00,0.00
4,64,8,192,0.38,92.1271,7.8729,10.82,0.00,0.00
4,64,16,200,0.38,92.0822,7.9178,10.86,0.00,0.00
8,4,1,5120,1.17,79.5402,20.4598,6.31,0.00,0.00
8,4,2,5376,1.19,81.9035,18.0965,6.18,0.00,0.00
8,4,4,5632,1.21,83.5535,16.4465,6.09,0.00,0.00
8,4,8,5888,1.24,83.6700,16.3300,6.08,0.00,0.00
8,4,16,6144,1.26,83.5210,16.4790,6.09,0.00,0.00
8,8,1,2560,0.94,85.3098,14.6902,6.13,0.00,0.00
8,8,2,2688,0.96,87.1729,12.8271,5.92,0.00,0.00
8,8,4,2816,0.97,88.5718,11.4282,5.76,0.00,0.00
8,8,8,2944,0.98,88.7834,11.2166,5.74,0.00,0.00
8,8,16,3072,0.99,88.7562,11.2438,5.74,0.00,0.00
8,16,1,1280,0.83,89.3064,10.6936,6.49,0.00,0.00
8,16,2,1344,0.84,90.8874,9.1126,6.14,0.00,0.00
8,16,4,1408,0.84,91.9206,8.0794,5.91,0.00,0.00
8,16,8,1472,0.85,92.2581,7.7419,5.83,0.00,0.00
8,16,16,1536,0.85,92.3279,7.6721,5.82,0.00,0.00
8,32,1,640,0.78,91.6602,8.3398,7.64,0.00,0.00
8,32,2,672,0.78,93.1384,6.8616,6.99,0.00,0.00
8,32,4,704,0.78,93.9011,6.0989,6.65,0.00,0.00
8,32,8,736,0.78,94.3874,5.6126,6.43,0.00,0.00
8,32,16,768,0.79,94.5054,5.4946,6.38,0.00,0.00
8,64,1,320,0.75,92.6029,7.3971,10.40,0.00,0.00
8,64,2,336,0.75,94.0254,5.9746,9.14,0.00,0.00
8,64,4,352,0.75,94.8077,5.1923,8.45,0.00,0.00
8,64,8,368,0.75,95.1997,4.8003,8.11,0.00,0.00
8,64,16,384,0.75,95.2707,4.7293,8.04,0.00,0.00
16,4,1,9728,2.29,84.0090,15.9910,6.06,0.00,0.00
16,4,2,10240,2.34,86.4699,13.5301,5.92,0.00,0.00
16,4,4,10752,2.38,87.5530,12.4470,5.86,0.00,0.00
16,4,8,11264,2.43,87.9278,12.0722,5.84,0.00,0.00
16,4,16,11776,2.48,87.9086,12.0914,5.84,0.00,0.00
16,8,1,4864,1.87,88.7727,11.2273,5.74,0.00,0.00
16,8,2,5120,1.89,90.6587,9.3413,5.53,0.00,0.00
16,8,4,5376,1.91,91.4366,8.5634,5.44,0.00,0.00
16,8,8,5632,1.93,91.7514,8.2486,5.40,0.00,0.00
16,8,16,5888,1.96,91.7829,8.2171,5.40,0.00,0.00
16,16,1,2432,1.65,91.9690,8.0310,5.90,0.00,0.00
16,16,2,2560,1.67,93.4996,6.5004,5.56,0.00,0.00
16,16,4,2688,1.68,94.0619,5.9381,5.43,0.00,0.00
16,16,8,2816,1.69,94.2912,5.7088,5.38,0.00,0.00
16,16,16,2944,1.70,94.3869,5.6131,5.36,0.00,0.00
16,32,1,1216,1.55,93.8277,6.1723,6.68,0.00,0.00
16,32,2,1280,1.55,95.2611,4.7389,6.04,0.00,0.00
16,32,4,1344,1.56,95.6830,4.3170,5.86,0.00,0.00
16,32,8,1408,1.56,95.8918,4.1082,5.77,0.00,0.00
16,32,16,1472,1.57,95.9501,4.0499,5.74,0.00,0.00
16,64,1,608,1.49,94.6650,5.3350,8.58,0.00,0.00
16,64,2,640,1.50,96.0705,3.9295,7.34,0.00,0.00
16,64,4,672,1.50,96.5148,3.4852,6.94,0.00,0.00
16,64,8,704,1.50,96.7280,3.2720,6.76,0.00,0.00
16,64,16,736,1.50,96.7817,3.2183,6.71,0.00,0.00
32,4,1,18432,4.50,87.3462,12.6538,5.88,0.89,0.04
32,4,2,19456,4.59,89.2937,10.7063,5.77,0.01,0.00
32,4,4,20480,4.68,90.0006,9.9994,5.73,0.00,0.00
32,4,8,21504,4.77,90.3812,9.6188,5.71,0.00,0.00
32,4,16,22528,4.86,90.4911,9.5089,5.70,0.00,0.00
32,8,1,9216,3.69,91.3038,8.6962,5.45,0.46,0.02
32,8,2,9728,3.73,92.8039,7.1961,5.28,0.00,0.00
32,8,4,10240,3.78,93.3277,6.6723,5.22,0.00,0.00
32,8,8,10752,3.82,93.6081,6.3919,5.19,0.00,0.00
32,8,16,11264,3.87,93.7268,6.2732,5.18,0.00,0.00
32,16,1,4608,3.28,94.0182,5.9818,5.44,0.24,0.01
32,16,2,4864,3.31,95.1399,4.8601,5.19,0.00,0.00
32,16,4,5120,3.33,95.5506,4.4494,5.10,0.00,0.00
32,16,8,5376,3.35,95.7496,4.2504,5.05,0.00,0.00
32,16,16,5632,3.38,95.8412,4.1588,5.03,0.00,0.00
32,32,1,2304,3.08,95.6015,4.3985,5.89,0.10,0.00
32,32,2,2432,3.09,96.5300,3.4700,5.48,0.00,0.00
32,32,4,2560,3.10,96.9164,3.0836,5.31,0.00,0.00
32,32,8,2688,3.12,97.0328,2.9672,5.26,0.00,0.00
32,32,16,2816,3.13,97.0693,2.9307,5.24,0.00,0.00
32,64,1,1152,2.98,96.4195,3.5805,7.03,0.00,0.00
32,64,2,1216,2.99,97.2421,2.7579,6.30,0.00,0.00
32,64,4,1280,2.99,97.6133,2.3867,5.97,0.00,0.00
32,64,8,1344,3.00,97.6807,2.3193,5.91,0.00,0.00
32,64,16,1408,3.00,97.7324,2.2676,5.87,0.00,0.00
64,4,1,34816,8.82,89.8520,10.1480,5.74,8.49,0.75
64,4,2,36864,9.00,90.8250,9.1750,5.68,2.92,0.26
64,4,4,38912,9.18,91.2206,8.7794,5.66,0.26,0.02
64,4,8,40960,9.36,91.4581,8.5419,5.65,0.00,0.00
64,4,16,43008,9.54,91.5796,8.4204,5.64,0.00,0.00
64,8,1,17408,7.29,93.2143,6.7857,5.24,6.25,0.46
64,8,2,18432,7.38,93.9752,6.0248,5.15,1.79,0.13
64,8,4,19456,7.47,94.2713,5.7287,5.12,0.06,0.00
64,8,8,20480,7.56,94.4445,5.5555,5.10,0.00,0.00
64,8,16,21504,7.65,94.5309,5.4691,5.09,0.00,0.00
64,16,1,8704,6.52,95.4652,4.5348,5.12,3.98,0.26
64,16,2,9216,6.57,96.0880,3.9120,4.98,0.93,0.06
64,16,4,9728,6.61,96.3005,3.6995,4.93,0.00,0.00
64,16,8,10240,6.66,96.4353,3.5647,4.90,0.00,0.00
64,16,16,10752,6.71,96.4819,3.5181,4.89,0.00,0.00
64,32,1,4352,6.14,96.8137,3.1863,5.36,2.29,0.14
64,32,2,4608,6.17,97.3627,2.6373,5.11,0.34,0.02
64,32,4,4864,6.19,97.5425,2.4575,5.03,0.00,0.00
64,32,8,5120,6.21,97.6377,2.3623,4.99,0.00,0.00
64,32,16,5376,6.23,97.6758,2.3242,4.97,0.00,0.00
64,64,1,2176,5.95,97.5456,2.4544,6.03,0.78,0.05
64,64,2,2304,5.96,98.0664,1.9336,5.57,0.10,0.01
64,64,4,2432,5.97,98.2343,1.7657,5.42,0.00,0.00
64,64,8,2560,5.98,98.3312,1.6688,5.34,0.00,0.00
64,64,16,2688,6.00,98.3622,1.6378,5.31,0.00,0.00
128,4,1,65536,17.28,90.7274,9.2726,5.69,31.05,5.37
128,4,2,69632,17.64,91.4470,8.5530,5.65,20.15,3.55
128,4,4,73728,18.00,91.7423,8.2577,5.63,13.06,2.35
